code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
AEP,SABE,Jorge Newbery Airport,-34.55622,-58.41667,42,,America/Argentina/Buenos_Aires,BUE,AR,Colegiales,Buenos Aires F.D.,,AP
AJU,SBAR,Aracaju Airport,-10.98281225,-37.07602527743482,42,https://www4.infraero.gov.br/aeroportos/aeroporto-internacional-santa-maria-aracaju/,America/Maceio,AJU,BR,Aracaju,Sergipe,Aracaju,AP
ARU,SBAU,Aracatuba Airport,-21.140815,-50.425139094792286,1341,http://www.daesp.sp.gov.br/aeroporto-estadual-de-aracatuba-dario-guarita/,America/Sao_Paulo,ARU,BR,Aracatuba,Sao Paulo,Aracatuba,AP
ASU,SGAS,Silvio Pettirossi International Airport,-25.2355931,-57.51563884189728,232,,America/Asuncion,ASU,PY,Limpio,Central,,AP
AUA,TNCA,Reina Beatrix International Airport,12.502222,-70.013885,36,,America/Aruba,AUA,AW,Oranjestad,,,AP
BEL,SBBE,Val De Cans International Airport,-1.3798578,-48.47964610194296,19,http://www.infraero.gov.br/index.php/br/aeroportos/para/aeroporto-internacional-de-belem.html,America/Belem,BEL,BR,Belem,Para,Belem,AP
BOG,SKBO,El Dorado International Airport,4.7028947500000005,-74.1487499180044,8382,,America/Bogota,BOG,CO,Funza,Cundinamarca,,AP
BPS,SBPS,Porto Seguro Airport,-16.4389835,-39.08336724314525,134,,America/Bahia,BPS,BR,Porto Seguro,Bahia,Porto Seguro,AP
BRC,SAZS,San Carlos de Bariloche International Airport,-41.145966,-71.16109,2788,http://www.aa2000.com.ar/bariloche,America/Argentina/Salta,BRC,AR,San Carlos de Bariloche,Rio Negro,Departamento de Bariloche,AP
BSB,SBBR,Brasilia International Airport,-15.87174755,-47.91172169662855,3471,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=146,America/Sao_Paulo,BSB,BR,Brasilia,Federal District,Brasilia,AP
BVB,SBBV,Boa Vista Airport,2.833333,-60.666668,242,,America/Boa_Vista,BVB,BR,Boa Vista,Roraima,Boa Vista,AP
BYO,SBDB,Bonito Airport,-21.24942965,-56.45190863172819,1122,,America/Campo_Grande,BYO,BR,Bonito,Mato Grosso do Sul,Bonito,AP
CAC,SBCA,Cascavel Airport,-24.95,-53.466667,2417,,America/Sao_Paulo,CAC,BR,Cascavel,Parana,Cascavel,AP
CGB,SBCY,Marechal Rondon International Airport,-15.651725,-56.120266,629,http://www.infraero.gov.br/index.php/aeroportos/mato-grosso/aeroporto-internacional-marechal-rondon,America/Cuiaba,CGB,BR,Varzea Grande,Mato Grosso,Varzea Grande,AP
CGH,SBSP,Sao Paulo/Congonhas Airport,-23.626902,-46.659557,2627,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=219,America/Sao_Paulo,SAO,BR,Diadema,Sao Paulo,Diadema,AP
CGR,SBCG,Campo Grande International Airport,-20.47157685,-54.68224625125994,1788,,America/Campo_Grande,CGR,BR,Campo Grande,Mato Grosso do Sul,Campo Grande,AP
CKS,SBCJ,Carajas Airport,-6.11655575,-49.99774268663904,2063,http://www.infraero.gov.br/index.php/us/airports/para/carajas-airport.html,America/Belem,CKS,BR,,,,AP
CLV,SBCN,Caldas Novas,-17.7247899,-48.6081742294032,2276,,America/Sao_Paulo,CLV,BR,Caldas Novas,Goias,Caldas Novas,AP
CNF,SBCF,Tancredo Neves International Airport,-19.63339785,-43.96836942393943,2713,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=207,America/Sao_Paulo,BHZ,BR,Lagoa Santa,Minas Gerais,Lagoa Santa,AP
COR,SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,-31.31548,-64.21377,1584,,America/Argentina/Cordoba,COR,AR,Villa Allende,Cordoba,,AP
CPV,SBKG,Joao Suassuna Airport,-7.27016065,-35.89609699581786,1561,,America/Fortaleza,CPV,BR,Campina Grande,Paraiba,Campina Grande,AP
CUN,MMUN,Cancun International Airport,21.0407394,-86.8818149087711,72,http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp,America/Cancun,CUN,MX,Alfredo V. Bonfil,Quintana Roo,,AP
CWB,SBCT,Afonso Pena International Airport,-25.5322,-49.176544,2956,,America/Sao_Paulo,CWB,BR,Sao Jose dos Pinhais,Parana,Sao Jose Dos Pinhais,AP
