,AEP,GRU,CGH,POA,AJU,SSA,ARU,VCP,ASU,AUA,BEL,FOR,BOG,BPS,BRC,BSB,CNF,BVB,CGB,CKS,CLV,CZS,GYN,MAB,MAO,OPS,PMW,PVH,RBR,STM,BYO,CAC,GIG,SDU,REC,CWB,CXJ,FLN,GEL,JOI,NVT,PET,PFB,XAP,COR,EZE,MDZ,MVD,ROS,CGR,MOC,CPV,CUN,FEN,JDO,JJD,MCP,SLZ,THE,MCO,MIA,IZA,SJK,PUJ,VVI,IGU,IOS,JPA,LDB,MCZ,MGF,NAT,PNZ,PPB,RAO,SJP
RAO,1968.0142620867648,300.72891088330795,302.7019728308064,1140.081707920157,1929.963339451434,1675.5514410389926,614.7161375947409,217.90127998818318,1415.8791894634999,5046.667689358602,3683.166401471357,2547.4469601970964,4636.4075552192835,2076.014818853328,3298.1679882097046,1015.2897794186936,716.5527613721794,3523.903571358253,1894.0030135949728,2123.5952583322382,1234.2689819236525,3872.314699051409,1179.182792779715,2191.401036002765,2964.7435420358133,1954.62261891803,1643.1448047715826,2924.8417362777036,3266.9933025664623,2690.0022644305323,1196.3728767087953,895.7804888942567,616.2167101486441,625.2882933945813,2324.6864606228087,633.8376723933671,1068.5620295291212,790.3570512413402,1214.0686840609544,663.2155208231562,715.9169255367071,1360.839602246438,1067.1086402235833,1015.2978767334238,2230.6525513843067,1996.7257135172629,2694.2158888124427,1842.7647327163602,2027.1185743571841,1045.9867482290185,1042.5322012837164,2468.052747816004,6903.72730833393,2874.1759816736912,2937.406206011287,2771.215013730447,4003.3609032873237,3193.8001538014464,3043.1321679129505,7168.177890350328,6873.95178320032,760.8346419231585,347.4968217313186,5541.001648791802,2148.5703861475195,1016.101426526657,1900.049277741665,2433.338295664054,627.9484234185187,2506.5706420909028,709.3985844216991,2572.948993884724,2131.9282439267868,671.616312984789,0.0,555.3889208375899
CWB,1996.4479888185192,358.9267296807982,331.1356995625607,1168.5154346519112,2065.1756598541347,1810.7637614416935,812.7512500117416,415.93639240518394,1444.3129161952543,5104.865508156093,3839.791034884996,2704.0715936107354,4694.6053740167745,2211.2271392560287,3326.601714941459,1203.3488977908087,855.0821170466908,3711.9626897303683,2082.0621319670877,2311.654376704353,1422.3281002957679,4060.3738174235245,1367.2419111518302,2379.46015437488,3152.8026604079287,2142.681737290145,1831.2039231436975,3112.900854649819,3455.0524209385776,2878.0613828026476,1394.4079891257961,1093.8156013112575,690.3010030999318,696.9577141923897,2460.540348693897,0.0,1096.9957562608756,818.7907779730945,1242.5024107927088,691.6492475549105,744.3506522684614,1389.2733289781922,1095.5423669553377,1043.731603465178,2259.086278116061,2025.1594402490173,2722.649615544197,1871.1984594481146,2055.5523010889383,1244.0218606460194,1181.0615569582278,2603.9066358870923,6961.925127131421,3010.0298697447797,3094.030839424926,2927.839647144086,4159.985536700963,3350.4247872150854,3199.7568013265895,7226.375709147819,6932.149601997811,834.9189348744462,405.6946405288089,5599.199467589293,2206.7682049450095,1214.1365389436578,2035.2615981443655,2569.1921837351424,825.9835358355194,2642.4245301619912,907.4336968386999,2708.8028819558126,2267.1405643294875,869.6514254017898,633.8376723933671,753.4240332545908
GIG,2024.4775927933294,336.8311378312569,359.1653035373711,1196.5450386267216,2043.1201850765206,1788.7082866640792,795.1302877670186,398.3154301604609,1472.1332281851123,5082.769916306552,3819.0834248998185,2683.363983625558,4672.509782167233,2189.1716644784146,3354.6313189162693,1191.3407239632743,833.2934943077419,3699.954515902834,2070.0539581395533,2299.6462028768187,1410.3199264682332,4048.36564359599,1355.2337373242958,2367.4519805473456,3140.7944865803943,2130.6735634626107,1819.195749316163,3100.8926808222845,3443.044247111043,2866.053208975113,1376.787026881073,1076.1946390665344,0.0,14.674861920569453,2438.483268859551,690.3010030999318,1125.025360235686,846.8203819479047,1270.5320147675193,719.6788515297209,772.3802562432718,1417.3029329530027,1123.571970930148,1071.7612074399885,2287.1158820908713,2053.1890442238273,2750.6792195190073,1899.2280634229248,2083.5819050637488,1226.4008984012962,1159.2729342192788,2581.8495560527463,6939.829535281879,2987.9727899104337,3073.3232294397485,2907.1320371589086,4139.277926715786,3329.717177229908,3179.049191341412,7204.280117298278,6910.054010148269,144.6179317745144,383.59904867926764,5577.103875739751,2184.6726130954685,1196.5155766989346,2013.2061233667514,2547.1351039007964,808.3625735907964,2620.367450327645,889.8127345939768,2686.7458021214666,2245.0850895518734,852.0304631570667,616.2167101486441,735.8030710098676
JOI,2025.8258372483083,388.3045781105873,360.5135479923498,1197.8932830817002,2094.5535082839237,1840.1416098714826,842.1290984415307,445.314240834973,1473.6907646250434,5134.243356585882,3869.168883314785,2733.4494420405244,4723.983222446564,2240.604987685818,3355.979563371248,1232.7267462205978,884.4599654764799,3741.3405381601574,2111.4399803968768,2341.032225134142,1451.705948725557,4089.7516658533136,1396.6197595816193,2408.838002804669,3182.1805088377178,2172.059585719934,1860.5817715734865,3142.278703079608,3484.4302693683667,2907.4392312324367,1423.7858375555852,1123.1934497410466,719.6788515297209,726.3355626221788,2489.9181971236862,691.6492475549105,1126.3736046906647,848.1686264028835,1271.880259222498,0.0,773.7285006982505,1418.6511774079813,1124.9202153851268,1073.1094518949672,2288.46412654585,2054.5372886788064,2752.027463973986,1900.5763078779037,2084.9301495187274,1273.3997090758085,1210.439405388017,2633.2844843168814,6991.30297556121,3039.407718174569,3123.408687854715,2957.217495573875,4189.363385130752,3379.8026356448745,3229.1346497563786,7255.753557577608,6961.5274504276,864.2967833042353,435.072488958598,5628.577316019082,2236.1460533747986,1243.5143873734469,2064.6394465741546,2598.5700321649315,855.3613842653085,2671.8023785917803,936.811545268489,2738.1807303856017,2296.5184127592765,899.0292738315788,663.2155208231562,782.8018816843799
SDU,2031.1343038857874,344.1111319603831,365.822014629829,1203.2017497191796,2050.400179205647,1795.9882807932054,804.2018710129557,407.3870134063981,1478.9992312625225,5090.049910435678,3826.363419028945,2690.643977754684,4679.789776296359,2196.4516586075406,3361.288030008727,1198.6207180924002,840.573488436868,3707.23451003196,2077.3339522686792,2306.926197005945,1417.5999205973594,4055.645637725116,1362.5137314534218,2374.7319746764715,3148.0744807095207,2137.953557591737,1826.4757434452893,3108.172674951411,3450.3242412401696,2873.333203104239,1385.8586101270103,1085.2662223124717,14.674861920569453,0.0,2445.7632629886775,696.9577141923897,1131.682071328144,853.4770930403627,1277.1887258599772,726.3355626221788,779.0369673357297,1423.9596440454607,1130.2286820226059,1078.4179185324465,2293.7725931833293,2059.8457553162852,2757.3359306114653,1905.8847745153828,2090.2386161562067,1235.4724816472335,1166.552928348405,2589.129550181872,6947.1095294110055,2995.2527840395596,3080.6032235688745,2914.412031288035,4146.557920844912,3336.997171359034,3186.3291854705385,7211.560111427404,6917.334004277396,159.29279369508384,390.8790428083938,5584.383869868878,2191.9526072245944,1205.587159944872,2020.4861174958776,2554.415098029923,817.4341568367336,2627.647444456771,898.884317839914,2694.025796250593,2252.3650836809993,861.1020464030039,625.2882933945813,744.8746542558049
NVT,2078.527241961859,441.0059828241382,413.2149527059007,1250.5946877952513,2147.254912997475,1892.8430145850334,894.8305031550816,498.01564554852393,1526.3921693385942,5186.944761299433,3921.8702880283363,2786.1508467540752,4776.684627160114,2293.3063923993686,3408.680968084799,1285.4281509341486,937.1613701900308,3794.0419428737086,2164.141385110428,2393.733629847693,1504.4073534391077,4142.453070566865,1449.32116429517,2461.5394075182203,3234.8819135512686,2224.760990433485,1913.2831762870376,3194.980107793159,3537.1316740819175,2960.140635945988,1476.487242269136,1175.8948544545974,772.3802562432718,779.0369673357297,2542.6196018372375,744.3506522684614,1179.0750094042155,900.8700311164343,1324.5816639360487,773.7285006982505,0.0,1471.3525821215324,1177.6216200986778,1125.810856608518,2341.165531259401,2107.238693392357,2804.728868687537,1953.2777125914545,2137.631554232278,1326.1011137893593,1263.1408101015677,2685.985889030432,7044.0043802747605,3092.1091228881196,3176.110092568266,3009.9189002874264,4242.064789844303,3432.5040403584253,3281.83605446993,7308.454962291159,7014.228855141151,916.9981880177862,487.7738936721489,5681.278720732633,2288.8474580883494,1296.2157920869977,2117.340851287706,2651.2714368784827,908.0627889788594,2724.503783305331,989.5129499820399,2790.882135099153,2349.2198174728273,951.7306785451298,715.9169255367071,835.5032863979308
SJP,2087.6006229479885,420.3152717445315,422.28833369203005,1259.6680687813805,2049.5497003126575,1795.1378019002161,734.3024984559645,337.4876408494068,1535.4655503247234,5166.254050219825,3802.752762332581,2667.0333210583203,4755.993916080507,2195.6011797145516,3417.7543490709286,1134.876140279917,836.139122233403,3643.489932219477,2013.5893744561963,2243.1816191934618,1353.8553427848763,3991.901059912633,1298.7691536409386,2310.9873968639886,3084.3299028970373,2074.2089797792537,1762.731165632806,3044.4280971389276,3386.5796634276862,2809.588625291756,1315.9592375700188,1015.3668497554802,735.8030710098676,744.8746542558049,2444.2728214840326,753.4240332545908,1188.148390390345,909.9434121025638,1333.6550449221781,782.8018816843799,835.5032863979307,1480.4259631076616,1186.695001084807,1134.8842375946474,2350.23891224553,2116.3120743784866,2813.8022496736667,1962.3510935775837,2146.7049352184076,1165.573109090242,1162.11856214494,2587.639108677228,7023.313669195153,2993.762342534915,3056.992566872511,2890.801374591671,4122.947264148547,3313.3865146626704,3162.7185287741745,7287.764251211552,6993.538144061544,880.4210027843822,467.08318259254224,5660.588009653025,2268.156747008743,1135.6877873878805,2019.6356386028885,2552.924656525278,747.5347842797423,2626.1570029521267,828.9849452829227,2692.535354745948,2251.5146047880103,791.2026738460127,555.3889208375899,0.0
COR,2104.8952149480137,1954.25218906793,1927.9505785535002,1255.7977585000137,3660.5412363131936,3406.129337900752,2409.566129002681,2012.7512713961235,2074.834808964634,6700.190967543224,5436.504476136492,4300.7850348622305,6289.930833403906,3806.5927157150877,3439.807347602098,2800.1637767817483,2450.714545544415,5308.777568721308,3678.8770109580273,3908.4692556952928,3019.1429792867075,5657.188696414464,2964.0567901427694,3976.2750333658196,4749.617539398869,3739.4966162810847,3428.018802134637,4709.715733640758,5051.867299929518,4474.876261793587,2991.2228681167353,2690.6304803021967,2287.1158820908713,2293.7725931833293,4055.904320096224,2259.086278116061,2693.8106352518153,2415.605656964034,2839.3172897836484,2288.46412654585,2341.165531259401,2986.088207969132,2692.357245946277,2640.5464824561177,0.0,2131.3655383368377,2956.1767742296934,1960.3685141383119,2224.090929005223,2840.8367396369586,2776.693985455952,4199.27060728942,8557.250586518552,4605.393841147106,4690.744280676421,4524.553088395582,5756.698977952458,4947.1382284665815,4796.470242578085,8821.70116853495,8527.475061384943,2431.733813865386,2001.0200999159406,7194.5249269764245,3802.0936643321415,2810.951417934597,3630.6271746034245,4164.556155137469,2422.798414826459,4237.788501564319,2504.2485758296393,4304.16685335814,3862.5061407885464,2466.4663043927294,2230.6525513843067,2350.23891224553
ARU,2146.9278397051394,479.64248850168246,481.6155504491809,1318.9952855385313,2108.8769170698083,1854.4650186573672,0.0,396.81485760655767,1594.7927670818744,5225.581266976977,3862.0799790897318,2726.360537815471,4815.321132837658,2254.9283964717024,3477.0815658280794,1194.2033570370681,895.4663389905538,3702.817148976628,2072.916591213347,2302.5088359506126,1413.182559542027,4051.228276669784,1358.0963703980897,2370.3146136211394,3143.657119654188,2133.5361965364045,1822.058382389957,3103.7553138960784,3445.906880184837,2868.915842048907,1375.2864543271698,1074.6940665126313,795.1302877670186,804.2018710129557,2503.6000382411835,812.7512500117416,1247.4756071474958,969.2706288597146,1392.982261679329,842.1290984415307,894.8305031550816,1539.7531798648124,1246.0222178419579,1194.2114543517982,2409.566129002681,2175.6392911356374,2873.1294664308175,2021.6783103347348,2206.0321519755585,1224.900325847393,1221.4457789020908,2646.9663254343786,7082.640885952304,3053.089559292066,3116.3197836296617,2950.128591348822,4182.2744809056985,3372.713731419821,3222.0457455313253,7347.091467968703,7052.865360818695,939.748219541533,526.4103993496931,5719.915226410177,2327.483963765894,1195.0150041450315,2078.9628553600396,2612.2518732824287,806.8620010368932,2685.4842197092776,888.3121620400736,2751.862571503099,2310.841821545161,850.5298906031635,614.7161375947409,734.3024984559645
FLN,2152.967367666492,515.4461085287712,487.6550784105337,1325.0348134998842,2221.695038702108,1967.2831402896663,969.2706288597146,572.455771253157,1600.832295043227,5261.384887004066,3996.310413732969,2860.5909724587086,4851.124752864747,2367.746518104002,3483.121093789432,1359.8682766387817,1011.6014958946637,3868.4820685783416,2238.581510815061,2468.1737555523264,1578.8474791437407,4216.893196271498,1523.761289999803,2535.979533222853,3309.322039255902,2299.2011161381183,1987.7233019916705,3269.420233497792,3611.571799786551,3034.580761650621,1550.927367973769,1250.3349801592303,846.8203819479047,853.4770930403627,2617.0597275418704,818.7907779730945,1253.5151351088487,0.0,1399.0217896406818,848.1686264028835,900.8700311164343,1545.7927078261653,1252.0617458033107,1200.250982313151,2415.605656964034,2181.67881909699,2879.16899439217,2027.7178382960874,2212.0716799369116,1400.5412394939922,1337.5809358062006,2760.4260147350656,7118.444505979393,3166.549248592753,3250.550218272899,3084.3590259920593,4316.504915548936,3506.9441660630587,3356.276180174563,7382.895087995792,7088.668980845784,991.4383137224193,562.2140193767818,5755.718846437266,2363.287583792983,1370.6559177916306,2191.7809769923388,2725.7115625831157,982.5029146834925,2798.9439090099645,1063.953075686673,2865.322260803786,2423.6599431774607,1026.1708042497628,790.3570512413401,909.9434121025638
