origem,destino,tipo,distancia,escalas,caminho_str
UNA,BOG,Azul→Gol,6068.35862870138,2,UNA → SSA → GRU → BOG
BOG,UNA,Gol→Azul,6068.35862870138,2,BOG → GRU → SSA → UNA
MEU,CZS,Azul→Gol,6142.30317233619,2,MEU → FOR → BSB → CZS
CZS,MEU,Gol→Azul,6142.30317233619,2,CZS → BSB → FOR → MEU
OIA,BOG,Azul→Gol,6258.9443519369925,2,OIA → BSB → GRU → BOG
BOG,OIA,Gol→Azul,6258.9443519369925,2,BOG → GRU → BSB → OIA
AUA,PDP,Gol→Azul,6261.062970801614,2,AUA → GRU → POA → PDP
PDP,AUA,Azul→Gol,6261.062970801615,2,PDP → POA → GRU → AUA
UNA,AUA,Azul→Gol,6478.618762840699,2,UNA → SSA → GRU → AUA
AUA,UNA,Gol→Azul,6478.618762840699,2,AUA → GRU → SSA → UNA
QGP,BOG,Azul→Gol,6625.001345883139,2,QGP → REC → GRU → BOG
BOG,QGP,Gol→Azul,6625.001345883139,2,BOG → GRU → REC → QGP
OIA,AUA,Azul→Gol,6669.204486076311,2,OIA → BSB → GRU → AUA
AUA,OIA,Gol→Azul,6669.204486076311,2,AUA → GRU → BSB → OIA
BOG,OAL,Gol→Azul,6736.765352972555,2,BOG → GRU → BSB → OAL
OAL,BOG,Azul→Gol,6736.765352972556,2,OAL → BSB → GRU → BOG
ITB,BOG,Azul→Gol,6751.708130658406,2,ITB → BSB → GRU → BOG
BOG,ITB,Gol→Azul,6751.708130658406,2,BOG → GRU → BSB → ITB
PDP,PUJ,Azul→Gol,6755.396930234814,2,PDP → POA → GRU → PUJ
PUJ,PDP,Gol→Azul,6755.396930234814,2,PUJ → GRU → POA → PDP
AQA,MIA,Azul→Gol,6823.018921509507,2,AQA → VCP → GRU → MIA
MIA,AQA,Gol→Azul,6823.018921509507,2,MIA → GRU → VCP → AQA
MIA,JTC,Gol→Azul,6875.846426032838,2,MIA → GRU → VCP → JTC
JTC,MIA,Azul→Gol,6875.846426032839,2,JTC → VCP → GRU → MIA
FRC,MIA,Azul→Gol,6930.637239007658,2,FRC → VCP → GRU → MIA
MIA,FRC,Gol→Azul,6930.637239007658,2,MIA → GRU → VCP → FRC
MII,MIA,Azul→Gol,6956.290953707902,2,MII → VCP → GRU → MIA
MIA,MII,Gol→Azul,6956.290953707902,2,MIA → GRU → VCP → MII
PUJ,UNA,Gol→Azul,6972.952722273899,2,PUJ → GRU → SSA → UNA
UNA,PUJ,Azul→Gol,6972.9527222739,2,UNA → SSA → GRU → PUJ
QGP,AUA,Azul→Gol,7035.261480022457,2,QGP → REC → GRU → AUA
AUA,QGP,Gol→Azul,7035.261480022457,2,AUA → GRU → REC → QGP
AUA,OAL,Gol→Azul,7147.025487111873,2,AUA → GRU → BSB → OAL
OAL,AUA,Azul→Gol,7147.025487111874,2,OAL → BSB → GRU → AUA
ITB,AUA,Azul→Gol,7161.968264797724,2,ITB → BSB → GRU → AUA
AUA,ITB,Gol→Azul,7161.968264797724,2,AUA → GRU → BSB → ITB
OIA,PUJ,Azul→Gol,7163.538445509511,2,OIA → BSB → GRU → PUJ
PUJ,OIA,Gol→Azul,7163.538445509511,2,PUJ → GRU → BSB → OIA
MEU,MIA,Azul→Gol,7164.2105016596815,1,MEU → FOR → MIA
MIA,MEU,Gol→Azul,7164.2105016596815,1,MIA → FOR → MEU
DIQ,MIA,Azul→Gol,7181.93868687453,2,DIQ → CNF → GRU → MIA
MIA,DIQ,Gol→Azul,7181.93868687453,2,MIA → GRU → CNF → DIQ
IPN,MIA,Azul→Gol,7220.768688524895,2,IPN → CNF → GRU → MIA
MIA,IPN,Gol→Azul,7220.768688524896,2,MIA → GRU → CNF → IPN
BOG,CIZ,Gol→Azul,7308.153037880958,2,BOG → GRU → BSB → CIZ
CIZ,BOG,Azul→Gol,7308.153037880959,2,CIZ → BSB → GRU → BOG
POJ,MIA,Azul→Gol,7355.459570810513,2,POJ → CNF → GRU → MIA
MIA,POJ,Gol→Azul,7355.459570810513,2,MIA → GRU → CNF → POJ
UMU,MIA,Azul→Gol,7392.450783236399,3,UMU → CWB → CGH → GRU → MIA
MIA,UMU,Gol→Azul,7392.450783236399,3,MIA → GRU → CGH → CWB → UMU
CJZ,AUA,Azul→Gol,7437.687718871411,2,CJZ → FOR → GRU → AUA
AUA,CJZ,Gol→Azul,7437.687718871411,2,AUA → GRU → FOR → CJZ
QGP,PUJ,Azul→Gol,7529.5954394556575,2,QGP → REC → GRU → PUJ
PUJ,QGP,Gol→Azul,7529.5954394556575,2,PUJ → GRU → REC → QGP
OAL,PUJ,Azul→Gol,7641.359446545073,2,OAL → BSB → GRU → PUJ
PUJ,OAL,Gol→Azul,7641.359446545073,2,PUJ → GRU → BSB → OAL
ITB,PUJ,Azul→Gol,7656.302224230924,2,ITB → BSB → GRU → PUJ
PUJ,ITB,Gol→Azul,7656.302224230924,2,PUJ → GRU → BSB → ITB
AUA,CIZ,Gol→Azul,7718.413172020277,2,AUA → GRU → BSB → CIZ
CIZ,AUA,Azul→Gol,7718.413172020278,2,CIZ → BSB → GRU → AUA
BOG,SJL,Gol→Azul,7917.364624576275,2,BOG → GRU → BSB → SJL
SJL,BOG,Azul→Gol,7917.364624576276,2,SJL → BSB → GRU → BOG
PUJ,CJZ,Gol→Azul,7932.02167830461,2,PUJ → GRU → FOR → CJZ
CJZ,PUJ,Azul→Gol,7932.021678304611,2,CJZ → FOR → GRU → PUJ
PDP,MIA,Azul→Gol,8088.3470646433325,2,PDP → POA → GRU → MIA
MIA,PDP,Gol→Azul,8088.3470646433325,2,MIA → GRU → POA → PDP
CIZ,PUJ,Azul→Gol,8212.747131453478,2,CIZ → BSB → GRU → PUJ
PUJ,CIZ,Gol→Azul,8212.747131453478,2,PUJ → GRU → BSB → CIZ
FLL,AEP,Azul→Gol,8235.058879074251,2,FLL → VCP → POA → AEP
AEP,FLL,Gol→Azul,8235.058879074251,2,AEP → POA → VCP → FLL
FLL,EZE,Azul→Gol,8261.529202463076,2,FLL → VCP → POA → EZE
