origin,destination,origin_city,dest_city,path,path_length,stops,total_distance,direct_distance,efficiency,airlines,segments
POJ,REC,Patos de Minas Airport,Guararapes - Gilberto Freyre International Airport,POJ → PLU → VDC → SSA → REC,5,3,1939.83,1713.29,0.883,"G3, AD","[{'from': 'POJ', 'to': 'PLU', 'airline': 'AD', 'distance': 297.13}, {'from': 'PLU', 'to': 'VDC', 'airline': 'AD', 'distance': 644.17}, {'from': 'VDC', 'to': 'SSA', 'airline': 'AD', 'distance': 349.88}, {'from': 'SSA', 'to': 'REC', 'airline': 'G3', 'distance': 648.65}]"
PAV,CGB,Paulo Afonso Airport,Marechal Rondon Airport,PAV → SSA → CGB,3,1,2331.05,2058.77,0.883,"G3, AD","[{'from': 'PAV', 'to': 'SSA', 'airline': 'AD', 'distance': 390.12}, {'from': 'SSA', 'to': 'CGB', 'airline': 'G3', 'distance': 1940.93}]"
IOS,GEL,Bahia - Jorge Amado Airport,Santo �ngelo Airport,IOS → GRU → POA → GEL,4,2,2449.53,2161.92,0.883,"G3, AD","[{'from': 'IOS', 'to': 'GRU', 'airline': 'AD', 'distance': 1236.07}, {'from': 'GRU', 'to': 'POA', 'airline': 'G3', 'distance': 865.58}, {'from': 'POA', 'to': 'GEL', 'airline': 'AD', 'distance': 347.88}]"
CZS,ATM,Cruzeiro do Sul Airport,Altamira Airport,CZS → RBR → MAO → STM → ATM,5,3,2628.69,2321.19,0.883,"G3, AD","[{'from': 'CZS', 'to': 'RBR', 'airline': 'G3', 'distance': 591.83}, {'from': 'RBR', 'to': 'MAO', 'airline': 'G3', 'distance': 1152.33}, {'from': 'MAO', 'to': 'STM', 'airline': 'G3', 'distance': 588.62}, {'from': 'STM', 'to': 'ATM', 'airline': 'AD', 'distance': 295.91}]"
ATM,CZS,Altamira Airport,Cruzeiro do Sul Airport,ATM → STM → MAO → RBR → CZS,5,3,2628.69,2321.19,0.883,"G3, AD","[{'from': 'ATM', 'to': 'STM', 'airline': 'AD', 'distance': 295.91}, {'from': 'STM', 'to': 'MAO', 'airline': 'G3', 'distance': 588.62}, {'from': 'MAO', 'to': 'RBR', 'airline': 'G3', 'distance': 1152.33}, {'from': 'RBR', 'to': 'CZS', 'airline': 'G3', 'distance': 591.83}]"
CMG,PHB,Corumb� International Airport,Prefeito Doutor Jo�o Silva Filho Airport,CMG → CGR → BSB → THE → PHB,5,3,2824.75,2493.42,0.883,"G3, AD","[{'from': 'CMG', 'to': 'CGR', 'airline': 'AD', 'distance': 353.19}, {'from': 'CGR', 'to': 'BSB', 'airline': 'G3', 'distance': 877.49}, {'from': 'BSB', 'to': 'THE', 'airline': 'G3', 'distance': 1324.49}, {'from': 'THE', 'to': 'PHB', 'airline': 'AD', 'distance': 269.58}]"
PHB,CMG,Prefeito Doutor Jo�o Silva Filho Airport,Corumb� International Airport,PHB → THE → BSB → CGR → CMG,5,3,2824.75,2493.42,0.883,"G3, AD","[{'from': 'PHB', 'to': 'THE', 'airline': 'AD', 'distance': 269.58}, {'from': 'THE', 'to': 'BSB', 'airline': 'G3', 'distance': 1324.49}, {'from': 'BSB', 'to': 'CGR', 'airline': 'G3', 'distance': 877.49}, {'from': 'CGR', 'to': 'CMG', 'airline': 'AD', 'distance': 353.19}]"
MCZ,BYO,Zumbi dos Palmares Airport,Bonito Airport,MCZ → VCP → BYO,3,1,2905.34,2566.11,0.883,"G3, AD","[{'from': 'MCZ', 'to': 'VCP', 'airline': 'G3', 'distance': 1925.99}, {'from': 'VCP', 'to': 'BYO', 'airline': 'AD', 'distance': 979.35}]"
BYO,MCZ,Bonito Airport,Zumbi dos Palmares Airport,BYO → VCP → MCZ,3,1,2905.34,2566.11,0.883,"G3, AD","[{'from': 'BYO', 'to': 'VCP', 'airline': 'AD', 'distance': 979.35}, {'from': 'VCP', 'to': 'MCZ', 'airline': 'G3', 'distance': 1925.99}]"
TFF,TXF,Tef� Airport,9 de Maio - Teixeira de Freitas Airport,TFF → MAO → BSB → CNF → TXF,5,3,3570.0,3151.67,0.883,"G3, AD","[{'from': 'TFF', 'to': 'MAO', 'airline': 'AD', 'distance': 520.36}, {'from': 'MAO', 'to': 'BSB', 'airline': 'G3', 'distance': 1948.61}, {'from': 'BSB', 'to': 'CNF', 'airline': 'G3', 'distance': 590.9}, {'from': 'CNF', 'to': 'TXF', 'airline': 'AD', 'distance': 510.13}]"
EZE,CIZ,Ministro Pistarini International Airport,Coari Airport,EZE → MAO → CIZ,3,1,3900.79,3445.1,0.883,"G3, AD","[{'from': 'EZE', 'to': 'MAO', 'airline': 'G3', 'distance': 3537.63}, {'from': 'MAO', 'to': 'CIZ', 'airline': 'AD', 'distance': 363.16}]"
CIZ,EZE,Coari Airport,Ministro Pistarini International Airport,CIZ → MAO → EZE,3,1,3900.79,3445.1,0.883,"G3, AD","[{'from': 'CIZ', 'to': 'MAO', 'airline': 'AD', 'distance': 363.16}, {'from': 'MAO', 'to': 'EZE', 'airline': 'G3', 'distance': 3537.63}]"
PBM,PFB,Johan Adolf Pengel International Airport,Lauro Kurtz Airport,PBM → BEL → BSB → VCP → PFB,5,3,4255.46,3759.45,0.883,"G3, AD","[{'from': 'PBM', 'to': 'BEL', 'airline': 'G3', 'distance': 1064.29}, {'from': 'BEL', 'to': 'BSB', 'airline': 'G3', 'distance': 1612.36}, {'from': 'BSB', 'to': 'VCP', 'airline': 'G3', 'distance': 798.0}, {'from': 'VCP', 'to': 'PFB', 'airline': 'AD', 'distance': 780.81}]"
BGI,PTO,Sir Grantley Adams International Airport,PATO BRANCO,BGI → GRU → CWB → PTO,4,2,5018.98,4430.51,0.883,"G3, AD","[{'from': 'BGI', 'to': 'GRU', 'airline': 'G3', 'distance': 4299.71}, {'from': 'GRU', 'to': 'CWB', 'airline': 'G3', 'distance': 359.1}, {'from': 'CWB', 'to': 'PTO', 'airline': 'AD', 'distance': 360.17}]"
PUJ,UBA,Punta Cana International Airport,M�rio de Almeida Franco Airport,PUJ → BSB → CNF → UBA,4,2,5444.38,4808.05,0.883,"G3, AD","[{'from': 'PUJ', 'to': 'BSB', 'airline': 'G3', 'distance': 4435.05}, {'from': 'BSB', 'to': 'CNF', 'airline': 'G3', 'distance': 590.9}, {'from': 'CNF', 'to': 'UBA', 'airline': 'AD', 'distance': 418.43}]"
UBA,PUJ,M�rio de Almeida Franco Airport,Punta Cana International Airport,UBA → CNF → BSB → PUJ,4,2,5444.38,4808.05,0.883,"G3, AD","[{'from': 'UBA', 'to': 'CNF', 'airline': 'AD', 'distance': 418.43}, {'from': 'CNF', 'to': 'BSB', 'airline': 'G3', 'distance': 590.9}, {'from': 'BSB', 'to': 'PUJ', 'airline': 'G3', 'distance': 4435.05}]"
SDQ,IZA,Las Am�ricas International Airport,Zona da Mata Regional Airport,SDQ → GIG → CNF → IZA,4,2,5997.74,5295.64,0.883,"G3, AD","[{'from': 'SDQ', 'to': 'GIG', 'airline': 'G3', 'distance': 5409.85}, {'from': 'GIG', 'to': 'CNF', 'airline': 'G3', 'distance': 362.02}, {'from': 'CNF', 'to': 'IZA', 'airline': 'AD', 'distance': 225.87}]"
IZA,SDQ,Zona da Mata Regional Airport,Las Am�ricas International Airport,IZA → CNF → GIG → SDQ,4,2,5997.74,5295.64,0.883,"G3, AD","[{'from': 'IZA', 'to': 'CNF', 'airline': 'AD', 'distance': 225.87}, {'from': 'CNF', 'to': 'GIG', 'airline': 'AD', 'distance': 362.02}, {'from': 'GIG', 'to': 'SDQ', 'airline': 'G3', 'distance': 5409.85}]"
