Label,ID,Latitude,Longitude,Operator
Senador Nilo Coelho Airport,PNZ,-9.362409592,-40.56909943,Both
Governador Jorge Teixeira de Oliveira Airport,PVH,-8.709289551,-63.90230179,Both
Pl�cido de Castro Airport,RBR,-9.868888855,-67.89805603,Both
Guararapes - Gilberto Freyre International Airport,REC,-8.126489639,-34.92359924,Both
Santos Dumont Airport,SDU,-22.91049957,-43.1631012,Both
Leite Lopes Airport,RAO,-21.13638878,-47.77666855,Both
Professor Urbano Ernesto Stumpf Airport,SJK,-23.22920036,-45.86149979,Azul
Marechal Cunha Machado International Airport,SLZ,-2.58536005,-44.23410034,Both
Congonhas Airport,CGH,-23.62611008,-46.65638733,Both
Prof. Eribelto Manoel Reino State Airport,SJP,-20.8166008,-49.40650177,Azul
Deputado Luiz Eduardo Magalh�es International Airport,SSA,-12.9086113,-38.32249832,Both
Trombetas Airport,TMT,-1.489599943,-56.39680099,Azul
Senador Petr�nio Portela Airport,THE,-5.059939861,-42.82350159,Both
Tef� Airport,TFF,-3.382940054,-64.72409821,Azul
Tabatinga Airport,TBT,-4.255670071,-69.93579865,Azul
Tucuru� Airport,TUR,-3.786010027,-49.72029877,Azul
S�o Gabriel da Cachoeira Airport,SJL,-0.14835,-66.9855,Azul
Paulo Afonso Airport,PAV,-9.40087986,-38.25059891,Azul
Rubem Berta Airport,URG,-29.78219986,-57.03820038,Azul
Ten. Cel. Aviador C�sar Bombonato Airport,UDI,-18.883612,-48.225277,Both
M�rio de Almeida Franco Airport,UBA,-19.76472282,-47.96611023,Azul
Major Brigadeiro Trompowsky Airport,VAG,-21.59009933,-45.47330093,Azul
Brigadeiro Camar�o Airport,BVH,-12.69439983,-60.09830093,Azul
Eurico de Aguiar Salles Airport,VIX,-20.258057,-40.286388,Both
Comodoro Arturo Merino Ben�tez International Airport,SCL,-33.39300156,-70.78579712,Gol
Mariscal Sucre International Airport,UIO,-0.129166667,-78.3575,Gol
Silvio Pettirossi International Airport,ASU,-25.23999977,-57.52000046,Gol
Viru Viru International Airport,VVI,-17.6448,-63.135399,Gol
Johan Adolf Pengel International Airport,PBM,5.452829838,-55.18780136,Gol
Cayenne-Rochambeau Airport,CAY,4.819809914,-52.36040115,Azul
Jorge Ch�vez International Airport,LIM,-12.0219,-77.114305,Gol
Carrasco International /General C L Berisso Airport,MVD,-34.838402,-56.0308,Both
Sim�n Bol�var International Airport,CCS,10.601194,-66.991222,Gol
Sir Grantley Adams International Airport,BGI,13.07460022,-59.49250031,Gol
Queen Beatrix International Airport,AUA,12.5014,-70.015198,Gol
Fort Lauderdale Hollywood International Airport,FLL,26.072599,-80.152702,Azul
Miami International Airport,MIA,25.79319954,-80.29060364,Gol
Detroit Metropolitan Wayne County Airport,DTW,42.21239853,-83.35340118,Gol
John F Kennedy International Airport,JFK,40.63980103,-73.77890015,Gol
Orlando International Airport,MCO,28.42939949,-81.30899811,Both
Ministro Pistarini International Airport,EZE,-34.8222,-58.5358,Both
Maestro Wilson Fonseca Airport,STM,-2.424721956,-54.78583145,Both
Porto Seguro Airport,BPS,-16.438601,-39.080898,Both
Brigadeiro Lysias Rodrigues Airport,PMW,-10.29150009,-48.35699844,Both
Nelson Ribeiro Guimar�es Airport,CLV,-17.72529984,-48.60749817,Both
Orlando Bezerra de Menezes Airport,JDO,-7.218959808,-39.27009964,Both
Coronel Hor�cio de Mattos Airport,LEC,-12.4822998,-41.27700043,Azul
Maca� Airport,MEA,-22.34300041,-41.76599884,Azul
Frank Miloye Milenkowichi�Mar�lia State Airport,MII,-22.19689941,-49.92639923,Azul
Vit�ria da Conquista Airport,VDC,-14.86279964,-40.86309814,Both
Santa Maria Airport,RIA,-29.711399,-53.688202,Azul
Toledo Airport,TOW,-24.6863,-53.697498,Azul
Ji-Paran� Airport,JPR,-10.87080002,-61.8465004,Azul
Coronel Altino Machado de Oliveira Airport,GVR,-18.89520073,-41.98220062,Azul
Capitan Corbeta CA Curbelo International Airport,PDP,-34.85509872,-55.09429932,Azul
Cabo Frio Airport,CFB,-22.92169952,-42.07429886,Azul
Presidente Jo�o Batista Figueiredo Airport,OPS,-11.88500023,-55.58610916,Both
Parintins Airport,PIN,-2.673019886,-56.77719879,Azul
Barreiras Airport,BRA,-12.07890034,-45.00899887,Azul
Aragua�na Airport,AUX,-7.22787,-48.240501,Azul
Dourados Airport,DOU,-22.2019,-54.926601,Azul
Maestro Marinho Franco Airport,ROO,-16.586,-54.7248,Azul
General Leite de Castro Airport,RVD,-17.83472252,-50.95611191,Azul
Romeu Zema Airport,AAX,-19.5632,-46.96039963,Azul
Coari Airport,CIZ,-4.134059906,-63.13259888,Azul
Barcelos Airport,BAZ,-0.981292,-62.919601,Azul
Caraj�s Airport,CKS,-6.115277767,-50.00138855,Both
Valen�a Airport,VAL,-13.2965,-38.992401,Azul
Zona da Mata Regional Airport,IZA,-21.5130558,-43.17305756,Both
Patos de Minas Airport,POJ,-18.67280006,-46.49119949,Azul
Bauru - Arealva Airport,JTC,-22.16685914,-49.05028667,Both
Bonito Airport,BYO,-21.247299,-56.452499,Azul
Eirunep� Airport,ERN,-6.639530182,-69.87979889,Azul
Senadora Eunice Micheles Airport,OLC,-3.467929508,-68.92041206,Azul
Tapuruquara Airport,IRZ,-0.3786,-64.9923,Azul
Pl�nio Alarcom Airport,TJL,-20.75419998,-51.68420029,Azul
Cacoal Airport,OAL,-11.496,-61.4508,Azul
Humberto Ghizzo Bortoluzzi Regional Airport,JJG,-28.6753,-49.0596,Azul
9 de Maio - Teixeira de Freitas Airport,TXF,-17.52449989,-39.66849899,Azul
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,PGZ,-25.1847,-50.1441,Azul
Adolino Bedin Regional Airport,SMT,-12.479177,-55.672341,Azul
FEIRA DE SANTANA/J.D.CARNEIRO,FEC,-12.2025,-38.9061,Azul
Jericoacoara,JJD,-2.5424,-40.2129,Both
PATO BRANCO,PTO,-26.2172,-52.6936,Azul
