Airline_ID,Airline_Name,Departure,Destination,Departure_Name,Destination_Name,Departure_Lat,Departure_Lon,Destination_Lat,Destination_Lon,Distance_km,Is_Domestic
G3,Gol,CGH,CGB,Congonhas Airport,Marechal Rondon Airport,-23.62611008,-46.65638733,-15.65289974,-56.11669922,1328.5904331899553,True
G3,Gol,CGH,CGR,Congonhas Airport,Campo Grande Airport,-23.62611008,-46.65638733,-20.46870041,-54.67250061,897.4432163164427,True
G3,Gol,CGH,CLV,Congonhas Airport,Nelson Ribeiro Guimar�es Airport,-23.62611008,-46.65638733,-17.72529984,-48.60749817,686.7812537723623,False
G3,Gol,CGH,CNF,Congonhas Airport,Tancredo Neves International Airport,-23.62611008,-46.65638733,-19.62444305,-43.9719429,524.3517493285782,True
G3,Gol,CGH,CWB,Congonhas Airport,Afonso Pena Airport,-23.62611008,-46.65638733,-25.5284996,-49.17580032,331.12110524686204,True
G3,Gol,CGH,CXJ,Congonhas Airport,Hugo Cantergiani Regional Airport,-23.62611008,-46.65638733,-29.19709969,-51.1875,766.1993937173319,False
G3,Gol,CGH,FLN,Congonhas Airport,Herc�lio Luz International Airport,-23.62611008,-46.65638733,-27.67027855,-48.55250168,488.18069534582213,True
G3,Gol,CGH,GIG,Congonhas Airport,Rio Gale�o � Tom Jobim International Airport,-23.62611008,-46.65638733,-22.80999947,-43.25055695,359.66370985986003,True
G3,Gol,CGH,GYN,Congonhas Airport,Santa Genoveva Airport,-23.62611008,-46.65638733,-16.63199997,-49.22069931,822.4238357811156,False
G3,Gol,CGH,JOI,Congonhas Airport,Lauro Carneiro de Loyola Airport,-23.62611008,-46.65638733,-26.22450066,-48.79740143,360.66061554068983,False
G3,Gol,CGH,JTC,Congonhas Airport,Bauru - Arealva Airport,-23.62611008,-46.65638733,-22.16685914,-49.05028667,294.0295923128717,False
G3,Gol,CGH,LDB,Congonhas Airport,Governador Jos� Richa Airport,-23.62611008,-46.65638733,-23.33359909,-51.13010025,457.4038081355602,False
G3,Gol,CGH,MGF,Congonhas Airport,Regional de Maring� - S�lvio Nane Junior Airport,-23.62611008,-46.65638733,-23.4794445,-52.01222229,546.1400738650497,False
G3,Gol,CGH,NVT,Congonhas Airport,Ministro Victor Konder International Airport,-23.62611008,-46.65638733,-26.879999,-48.651402,413.69854121877336,False
G3,Gol,CGH,POA,Congonhas Airport,Salgado Filho Airport,-23.62611008,-46.65638733,-29.99440002,-51.17139816,837.7495680979364,True
G3,Gol,CGH,PPB,Congonhas Airport,Presidente Prudente Airport,-23.62611008,-46.65638733,-22.17510033,-51.42459869,514.3318108323048,False
G3,Gol,CGH,SDU,Congonhas Airport,Santos Dumont Airport,-23.62611008,-46.65638733,-22.91049957,-43.1631012,365.5946365783402,True
G3,Gol,CGH,SSA,Congonhas Airport,Deputado Luiz Eduardo Magalh�es International Airport,-23.62611008,-46.65638733,-12.9086113,-38.32249832,1480.3588966815903,True
G3,Gol,CGH,UDI,Congonhas Airport,Ten. Cel. Aviador C�sar Bombonato Airport,-23.62611008,-46.65638733,-18.883612,-48.225277,551.8163410529019,False
G3,Gol,CGH,VIX,Congonhas Airport,Eurico de Aguiar Salles Airport,-23.62611008,-46.65638733,-20.258057,-40.286388,756.0845938711644,False
G3,Gol,CGR,BSB,Campo Grande Airport,Presidente Juscelino Kubistschek International Airport,-20.46870041,-54.67250061,-15.86916733,-47.92083359,877.4859243908209,True
G3,Gol,CGR,CGB,Campo Grande Airport,Marechal Rondon Airport,-20.46870041,-54.67250061,-15.65289974,-56.11669922,556.8157585902655,True
G3,Gol,CGR,CGH,Campo Grande Airport,Congonhas Airport,-20.46870041,-54.67250061,-23.62611008,-46.65638733,897.4432163164427,True
G3,Gol,CGR,GIG,Campo Grande Airport,Rio Gale�o � Tom Jobim International Airport,-20.46870041,-54.67250061,-22.80999947,-43.25055695,1208.5388439958085,True
G3,Gol,CGR,GRU,Campo Grande Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-20.46870041,-54.67250061,-23.43555641,-46.47305679,907.4796116340016,True
G3,Gol,CGR,MGF,Campo Grande Airport,Regional de Maring� - S�lvio Nane Junior Airport,-20.46870041,-54.67250061,-23.4794445,-52.01222229,432.78286777512426,False
G3,Gol,CLV,CGH,Nelson Ribeiro Guimar�es Airport,Congonhas Airport,-17.72529984,-48.60749817,-23.62611008,-46.65638733,686.7812537723623,False
G3,Gol,CNF,BPS,Tancredo Neves International Airport,Porto Seguro Airport,-19.62444305,-43.9719429,-16.438601,-39.080898,626.7605766374691,False
G3,Gol,CNF,BSB,Tancredo Neves International Airport,Presidente Juscelino Kubistschek International Airport,-19.62444305,-43.9719429,-15.86916733,-47.92083359,590.9032720427032,True
G3,Gol,CNF,CGH,Tancredo Neves International Airport,Congonhas Airport,-19.62444305,-43.9719429,-23.62611008,-46.65638733,524.3517493285782,True
G3,Gol,CNF,GIG,Tancredo Neves International Airport,Rio Gale�o � Tom Jobim International Airport,-19.62444305,-43.9719429,-22.80999947,-43.25055695,362.0216910774585,True
G3,Gol,CNF,GRU,Tancredo Neves International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-19.62444305,-43.9719429,-23.43555641,-46.47305679,496.4652199750041,True
G3,Gol,CNF,GYN,Tancredo Neves International Airport,Santa Genoveva Airport,-19.62444305,-43.9719429,-16.63199997,-49.22069931,646.7293176195027,False
G3,Gol,CNF,IOS,Tancredo Neves International Airport,Bahia - Jorge Amado Airport,-19.62444305,-43.9719429,-14.81599998,-39.03319931,748.8675944348071,True
G3,Gol,CNF,MOC,Tancredo Neves International Airport,M�rio Ribeiro Airport,-19.62444305,-43.9719429,-16.70689964,-43.81890106,324.8186099157868,False
G3,Gol,CNF,REC,Tancredo Neves International Airport,Guararapes - Gilberto Freyre International Airport,-19.62444305,-43.9719429,-8.126489639,-34.92359924,1607.7220328616143,True
G3,Gol,CNF,SDU,Tancredo Neves International Airport,Santos Dumont Airport,-19.62444305,-43.9719429,-22.91049957,-43.1631012,374.8784847118262,True
G3,Gol,CNF,SSA,Tancredo Neves International Airport,Deputado Luiz Eduardo Magalh�es International Airport,-19.62444305,-43.9719429,-12.9086113,-38.32249832,959.5698351953182,True
